"DISTRITO","CENTRO","SEXO","PERSONAS"
"ARGANZUELA","CASA DEL RELOJ","H","3478"
"ARGANZUELA","CASA DEL RELOJ","M","5917"
"ARGANZUELA","LUCA DE TENA","H","2769"
"ARGANZUELA","LUCA DE TENA","M","5037"
"BARAJAS","ACUARIO","H","904"
"BARAJAS","ACUARIO","M","1353"
"BARAJAS","BARRIO AEROPUERTO","H","60"
"BARAJAS","BARRIO AEROPUERTO","M","115"
"BARAJAS","Teresa de Calcuta","H","1334"
"BARAJAS","Teresa de Calcuta","M","2000"
"CARABANCHEL","Francisco de Goya","H","1846"
"CARABANCHEL","Francisco de Goya","M","2838"
"CARABANCHEL","Monseñor Oscar Romero","H","2820"
"CARABANCHEL","Monseñor Oscar Romero","M","4695"
"CARABANCHEL","Roger de Flor","H","1278"
"CARABANCHEL","Roger de Flor","M","2251"
"CARABANCHEL","S.Vicente Paul","H","2301"
"CARABANCHEL","S.Vicente Paul","M","3919"
"CARABANCHEL","Tierno Galván","H","1201"
"CARABANCHEL","Tierno Galván","M","1968"
"CENTRO","Antón Martín","H","880"
"CENTRO","Antón Martín","M","1614"
"CENTRO","BENITO MARTIN LOZANO","H","857"
"CENTRO","BENITO MARTIN LOZANO","M","1659"
"CENTRO","Dos Amigos","H","412"
"CENTRO","Dos Amigos","M","909"
"CENTRO","SAN FRANCISCO","H","893"
"CENTRO","SAN FRANCISCO","M","1820"
"CHAMARTIN","CASTILLA","H","633"
"CHAMARTIN","CASTILLA","M","1339"
"CHAMARTIN","Nicolás Salmerón","H","1599"
"CHAMARTIN","Nicolás Salmerón","M","3235"
"CHAMARTIN","PROSPERIDAD-SANTA HORTENSIA","H","1954"
"CHAMARTIN","PROSPERIDAD-SANTA HORTENSIA","M","4081"
"CHAMBERI","ANTONIO MINGOTE","H","2107"
"CHAMBERI","ANTONIO MINGOTE","M","4796"
"CHAMBERI","Santa Engracia","H","1830"
"CHAMBERI","Santa Engracia","M","4104"
"CIUDAD LINEAL","ASCAO","H","1540"
"CIUDAD LINEAL","ASCAO","M","2527"
"CIUDAD LINEAL","Canal de Panama","H","1600"
"CIUDAD LINEAL","Canal de Panama","M","2874"
"CIUDAD LINEAL","Carmen Laforet","H","1063"
"CIUDAD LINEAL","Carmen Laforet","M","1960"
"CIUDAD LINEAL","Islas Filipinas","H","1034"
"CIUDAD LINEAL","Islas Filipinas","M","1938"
"CIUDAD LINEAL","Luis Vives","H","712"
"CIUDAD LINEAL","Luis Vives","M","1025"
"CIUDAD LINEAL","Manuel Alexandre","H","1495"
"CIUDAD LINEAL","Manuel Alexandre","M","2651"
"CIUDAD LINEAL","Principe de Asturias","H","2577"
"CIUDAD LINEAL","Principe de Asturias","M","4731"
"CIUDAD LINEAL","San Juan Bautista","H","683"
"CIUDAD LINEAL","San Juan Bautista","M","1257"
"FUENCARRAL-EL PARDO","ALFONSO XII","H","244"
"FUENCARRAL-EL PARDO","ALFONSO XII","M","481"
"FUENCARRAL-EL PARDO","GINZO DE LIMIA","H","1652"
"FUENCARRAL-EL PARDO","GINZO DE LIMIA","M","2486"
"FUENCARRAL-EL PARDO","ISLAS JARVI","H","1341"
"FUENCARRAL-EL PARDO","ISLAS JARVI","M","2330"
"FUENCARRAL-EL PARDO","LA VAGUADA","H","4448"
"FUENCARRAL-EL PARDO","LA VAGUADA","M","7448"
"FUENCARRAL-EL PARDO","PEÑA GRANDE","H","2612"
"FUENCARRAL-EL PARDO","PEÑA GRANDE","M","4039"
"FUENCARRAL-EL PARDO","VOCAL VECINO JUSTO SIERRA","H","1219"
"FUENCARRAL-EL PARDO","VOCAL VECINO JUSTO SIERRA","M","1905"
"HORTALEZA","Bucaramanga","H","1128"
"HORTALEZA","Bucaramanga","M","1724"
"HORTALEZA","El Henar","H","479"
"HORTALEZA","El Henar","M","886"
"HORTALEZA","Huerta de la Salud","H","1283"
"HORTALEZA","Huerta de la Salud","M","2236"
"HORTALEZA","Ntra Sra de la Merced","H","1217"
"HORTALEZA","Ntra Sra de la Merced","M","2060"
"HORTALEZA","Ntra Sra del Carmen","H","1817"
"HORTALEZA","Ntra Sra del Carmen","M","2659"
"HORTALEZA","Pinar del Rey","H","714"
"HORTALEZA","Pinar del Rey","M","1048"
"HORTALEZA","San Benito","H","1103"
"HORTALEZA","San Benito","M","1898"
"LATINA","CAMPAMENTO","H","1621"
"LATINA","CAMPAMENTO","M","2549"
"LATINA","CERRO BERMEJO","H","1432"
"LATINA","CERRO BERMEJO","M","2625"
"LATINA","Ciudad de Méjico","H","2166"
"LATINA","Ciudad de Méjico","M","3426"
"LATINA","Lucero","H","2538"
"LATINA","Lucero","M","4042"
"LATINA","MARGARITA SALAS","H","2139"
"LATINA","MARGARITA SALAS","M","3244"
"MONCLOA-ARAVACA","ARAVACA","H","1057"
"MONCLOA-ARAVACA","ARAVACA","M","1611"
"MONCLOA-ARAVACA","Dehesa de la Villa","H","2002"
"MONCLOA-ARAVACA","Dehesa de la Villa","M","3624"
"MONCLOA-ARAVACA","Infante Don Juan","H","1080"
"MONCLOA-ARAVACA","Infante Don Juan","M","2246"
"MONCLOA-ARAVACA","Manzanares","H","676"
"MONCLOA-ARAVACA","Manzanares","M","1427"
"MORATALAZ","Isaac Rabin","H","1872"
"MORATALAZ","Isaac Rabin","M","3400"
"MORATALAZ","Moratalaz","H","3117"
"MORATALAZ","Moratalaz","M","5218"
"MORATALAZ","Nicanor Barroso","H","1110"
"MORATALAZ","Nicanor Barroso","M","1847"
"PUENTE DE VALLECAS","Alto Arenal","H","622"
"PUENTE DE VALLECAS","Alto Arenal","M","1142"
"PUENTE DE VALLECAS","Casa del Bulevar","H","849"
"PUENTE DE VALLECAS","Casa del Bulevar","M","1742"
"PUENTE DE VALLECAS","El Pozo","H","414"
"PUENTE DE VALLECAS","El Pozo","M","785"
"PUENTE DE VALLECAS","Entrevías","H","1202"
"PUENTE DE VALLECAS","Entrevías","M","2065"
"PUENTE DE VALLECAS","Navacerrada","H","2186"
"PUENTE DE VALLECAS","Navacerrada","M","3351"
"PUENTE DE VALLECAS","Pablo Neruda","H","2877"
"PUENTE DE VALLECAS","Pablo Neruda","M","4406"
"PUENTE DE VALLECAS","San Diego","H","2720"
"PUENTE DE VALLECAS","San Diego","M","4145"
"RETIRO","LA ESTRELLA - CARMEN MARTIN GAITE","H","860"
"RETIRO","LA ESTRELLA - CARMEN MARTIN GAITE","M","1508"
"RETIRO","Perez Galdós","H","2911"
"RETIRO","Perez Galdós","M","5208"
"RETIRO","Pio Baroja","H","2153"
"RETIRO","Pio Baroja","M","4467"
"SALAMANCA","LA GUINDALERA","H","2318"
"SALAMANCA","LA GUINDALERA","M","5244"
"SALAMANCA","Maestro Alonso","H","1272"
"SALAMANCA","Maestro Alonso","M","2971"
"SAN BLAS","Antonio Machado","H","1672"
"SAN BLAS","Antonio Machado","M","2668"
"SAN BLAS","Canillejas","H","2308"
"SAN BLAS","Canillejas","M","3547"
"SAN BLAS","Castillo de Uclés","H","783"
"SAN BLAS","Castillo de Uclés","M","1495"
"SAN BLAS","Ciudad Pegaso","H","430"
"SAN BLAS","Ciudad Pegaso","M","789"
"SAN BLAS","Pablo Casals","H","916"
"SAN BLAS","Pablo Casals","M","1933"
"TETUAN","La Remonta","H","2844"
"TETUAN","La Remonta","M","5473"
"TETUAN","Leñeros","H","663"
"TETUAN","Leñeros","M","1358"
"TETUAN","Pamplona","H","1339"
"TETUAN","Pamplona","M","2453"
"USERA","ARTURO PAJUELO","H","664"
"USERA","ARTURO PAJUELO","M","1166"
"USERA","EVANGELIOS","H","1235"
"USERA","EVANGELIOS","M","2283"
"USERA","JOSE MANUEL BRINGAS","H","632"
"USERA","JOSE MANUEL BRINGAS","M","1010"
"USERA","LOYOLA DE PALACIO","H","740"
"USERA","LOYOLA DE PALACIO","M","1219"
"USERA","Orcasur","H","524"
"USERA","Orcasur","M","886"
"USERA","SAN FILIBERTO","H","836"
"USERA","SAN FILIBERTO","M","1706"
"USERA","ZOFIO","H","623"
"USERA","ZOFIO","M","979"
"VICALVARO","El Almendro","H","1151"
"VICALVARO","El Almendro","M","1589"
"VICALVARO","Vicalvaro","H","2318"
"VICALVARO","Vicalvaro","M","3517"
"VILLA DE VALLECAS","SANTA EUGENIA","H","1850"
"VILLA DE VALLECAS","SANTA EUGENIA","M","2596"
"VILLA DE VALLECAS","VILLA DE VALLECAS","H","2507"
"VILLA DE VALLECAS","VILLA DE VALLECAS","M","3840"
"VILLAVERDE","Eduardo Minguito","H","670"
"VILLAVERDE","Eduardo Minguito","M","1013"
"VILLAVERDE","José Ortuño Ponce","H","1144"
"VILLAVERDE","José Ortuño Ponce","M","1718"
"VILLAVERDE","La Platanera","H","596"
"VILLAVERDE","La Platanera","M","892"
"VILLAVERDE","María Zambrano","H","455"
"VILLAVERDE","María Zambrano","M","875"
"VILLAVERDE","Miguel Delibes","H","1111"
"VILLAVERDE","Miguel Delibes","M","1582"
"VILLAVERDE","Nuestra Señora de los Angeles","H","1638"
"VILLAVERDE","Nuestra Señora de los Angeles","M","2609"
"VILLAVERDE","San Luciano","H","543"
"VILLAVERDE","San Luciano","M","965"
"VILLAVERDE","VILLALONSO","H","712"
"VILLAVERDE","VILLALONSO","M","1223"
