Station Name,Street Address,City,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,New Georeferenced Column,Counties,Zip Code,Town Index,Planning Regions
BMW OF DARIEN,138-142 Ledge Rd,Darien,24 hours daily,NONE,2,NONE,NONE,POINT (-73.4764687 41.072882),1040,5,35,9
Dunkin’ - Tesla Supercharger,893 E Main St,Meriden,24 hours daily; for Tesla use only,NONE,NONE,8,NONE,POINT (-72.773473 41.527367),1044,199,80,7
Town of Beacon Falls - Commuter Lot,105 N Main St,Beacon Falls,24 hours daily,NONE,1,NONE,NONE,POINT (-73.065583 41.44548100000001),1044,138,6,4
OLD SAYBROOK VW,319 Middlesex Turnpike,Old Saybrook,24 hours daily,NONE,2,NONE,NONE,POINT (-72.3825 41.3102778),1043,56,106,3
Fairfield Rail Station,80 Mill Plain Rd,Fairfield,24 hours daily,NONE,2,NONE,NONE,POINT (-73.264511 41.143125),1040,111,51,2
FOUNDRY66,50 Franklin St,Norwich,24 hours daily,NONE,2,NONE,NONE,POINT (-72.0741188 41.525611),1045,14,104,8
Corbins Corner Shopping Center - Tesla Supercharger,1445 New Britain Ave.,West Hartford,24 hours daily; for Tesla use only,NONE,NONE,8,NONE,POINT (-72.759717 41.722672),1041,213,155,1
GLASTONBURYEV,2327-2333 Main St,Glastonbury,24 hours daily,NONE,2,NONE,NONE,POINT (-72.6086744 41.711717),1041,90,54,1
Whole Foods Market,150 Ledge Rd,Darien,8am-10pm daily; for customer use only,4,NONE,NONE,NONE,POINT (-73.476189 41.072919),1040,5,35,9
Mystic Marriott Hotel and Spa,625 North Rd,Groton,24 hours daily; guest use only; see front desk for access,NONE,1,NONE,NONE,POINT (-72.026147 41.365973),1045,243,59,8
Brass Mill Center - Shoppers World,495 Union St,Waterbury,6am-12am daily,NONE,2,NONE,NONE,POINT (-73.025659 41.550922),1044,194,151,4
University of Connecticut Health - Center Garage,263 Farmington Ave,Farmington,24 hours daily,NONE,4,NONE,NONE,POINT (-72.79061800000001 41.730405),1041,254,52,1
D'Addario Nissan,329 Bridgeport Ave,Shelton,Dealership business hours,NONE,1,1,NONE,POINT (-73.106051 41.299792),1040,217,126,4
CT RAIL,198 N Cherry St,Wallingford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.8231924 41.4618954),1044,195,148,7
Hampton Inn & Suites Rocky Hill - Hartford South - Tesla Destination,685 Cromwell Ave,Rocky Hill,24 hours daily; for customer use only; see front desk for access,NONE,2,NONE,NONE,POINT (-72.679679 41.650999),1041,189,119,1
Goodwives Shopping Center,25 Old Kings Hwy,Darien,24 hours daily,NONE,NONE,1,NONE,POINT (-73.466318 41.078282),1040,5,35,9
City of New Haven - Union Station Garage,50 Union Ave,New Haven,24 hours daily; pay lot,NONE,3,NONE,NONE,POINT (-72.926722 41.297487000000004),1044,132,93,7
Easton Public Library,691 Morehouse Rd,Easton,24 hours daily,NONE,2,NONE,NONE,POINT (-73.297822 41.251966),1040,42,46,2
The Plaza at Buckland Hills - Tesla Supercharger,1470 Pleasant Valley Road,Manchester,24 hours daily; for Tesla use only,NONE,NONE,16,NONE,POINT (-72.562282 41.80452),1041,161,77,1
Greenlots - 92367,204 Stillman Hill Rd,Colebrook,24 hours daily,NONE,2,NONE,NONE,POINT (-73.138786 41.988528),1042,49,29,6
Mystic Diner Restaurant - Tesla Destination,253 Greenmanville  Ave,Mystic,24 hours daily; for customer use only,NONE,1,NONE,NONE,POINT (-71.961361 41.37356200000001),1045,135,137,8
Connecticut Airport Authority - Bradley Airport,Cell Phone Lot,Windsor Locks,24 hours daily,NONE,4,NONE,NONE,POINT (-72.670609 41.929342),1041,21,165,1
University of Connecticut - Motor Pool,9 Discovery Dr,Storrs,8am-3pm M-F,NONE,1,NONE,NONE,POINT (-72.261825 41.811817),38,33,78,1
Hammonasset Beach State Park - South,1288 Boston Post Rd,Madison,24 hours daily,NONE,4,NONE,NONE,POINT (-72.560456 41.263416),1044,134,76,7
Schaller Mitsubishi,25 Veterans Dr,New Britain,Dealership business hours,NONE,1,NONE,NONE,POINT (-72.770648 41.649365),1041,17,89,1
Mansfield Public Library,54 Warrenville Rd,Mansfield,24 hours daily,NONE,1,NONE,NONE,POINT (-72.195701 41.768396),38,32,78,1
WESTLODGE,811 Burr Mountain Rd,Torrington,24 hours daily,NONE,2,NONE,NONE,POINT (-73.1049768 41.8750604),1042,122,143,6
TOWNHALL,100 Bentley Dr,Harwinton,24 hours daily,NONE,2,NONE,NONE,POINT (-73.070231 41.7640244),1042,228,66,6
University of Connecticut - Avery Point,1084 Shennecossett Rd,Groton,24 hours daily,NONE,2,NONE,NONE,POINT (-72.065994 41.317722),,243,59,8
Middletown School District - Lawrence Elementary School,Kaplan Dr,Middletown,24 hours daily,NONE,2,NONE,NONE,POINT (-72.6824246 41.5871612),1043,236,83,3
Fairfield Mitsubishi,421 Tunxis Hill Rd,Fairfield,Dealership business hours,NONE,1,NONE,NONE,POINT (-73.230597 41.176442),1040,174,51,2
Gates Nissan,143 Boston Post Rd,North Windham,Dealership business hours,NONE,1,NONE,NONE,POINT (-72.188445 41.728247),39,258,163,8
Water's Edge Resort and Spa - Tesla Destination,1525 Boston Post Rd,Westbrook,24 hours daily,NONE,3,NONE,NONE,POINT (-72.43786 41.28006),1043,127,154,3
North Haven PaviIion,100 Universal Dr,North Haven,24 hours daily,NONE,NONE,6,NONE,POINT (-72.870574 41.353572),1044,168,101,7
UNION STATION,Union Ave and Union Station,New Haven,24 hours daily,NONE,10,NONE,NONE,POINT (-72.9270748 41.2975353),1044,132,93,7
Torrington Town Hall,140 Main St,Torrington,24 hours daily,NONE,1,NONE,NONE,POINT (-73.12122300000001 41.803497),1042,122,143,6
Crowley Nissan,1451 Farmington Ave,Bristol,Dealership business hours,NONE,2,1,NONE,POINT (-72.894672 41.699374),1041,219,17,4
Parthenon Diner Restaurant - Tesla Destination,374 E Main St,Branford,24 hours daily; for customer use only,NONE,1,NONE,NONE,POINT (-72.781436 41.296212),1044,170,14,7
Town of Mansfield - Community Center,10 S Eagleville Rd,Mansfield,24 hours daily,NONE,1,NONE,NONE,POINT (-72.242231 41.800421),38,33,78,1
Manchester City Nissan,30 Tolland Turnpike,Manchester,Dealership business hours,NONE,2,NONE,NONE,POINT (-72.507845 41.814316),1041,161,77,1
City of Meriden - City Hall,142 E Main St,Meriden,24 hours daily,NONE,4,NONE,NONE,POINT (-72.797226 41.536236),1044,199,80,7
City of New Haven - Sherman Tyler Lot,60 N Frontage Rd,New Haven,24 hours daily; permit lot,NONE,2,NONE,NONE,POINT (-72.948514 41.306474),1044,132,93,7
City of Meriden - Meriden Public Library,105 Miller St,Meriden,24 hours daily,NONE,2,NONE,NONE,POINT (-72.796702 41.537218),1044,199,80,7
Blogoslawski Parking Garage,10 Franklin Square,New Britain,24 hours daily,NONE,2,NONE,NONE,POINT (-72.7788286 41.664356600000005),1041,17,89,1
Comfort Inn Guilford - Tesla Destination,300 Boston Post Rd,Guilford,24 hours daily; for customer use only; see front desk for access,NONE,2,NONE,NONE,POINT (-72.657682 41.287164),1044,201,60,7
Brass Mill Center - Entrance 5,495 Union St,Waterbury,6am-12pm daily,NONE,2,NONE,NONE,POINT (-73.02614 41.549361),1044,194,151,4
Town of Simsbury - Town Hall,933 Hopmeadow St,Simsbury,24 hours daily,NONE,2,NONE,NONE,POINT (-72.489406 41.983904),38,143,129,1
Connecticut Legislative Parking Garage,240 Capitol Ave,Hartford,7am-7pm M-F,NONE,5,NONE,NONE,POINT (-72.684758 41.765434),1041,182,64,1
Middletown School District - Moody School,300 Country Club Rd,Middletown,24 hours daily,NONE,2,NONE,NONE,POINT (-72.711926 41.563917),1043,236,83,3
Barberino Nissan,505 N Colony St,Wallingford,Dealership business hours,NONE,1,NONE,NONE,POINT (-72.817586 41.467376),1044,195,148,7
CityPlace Garage,185 Asylum St,Hartford,Garage business hours,NONE,2,NONE,NONE,POINT (-72.676489 41.766656),1041,82,64,1
CURRAN VOLKSWAG,2774-2788 CT-113,Stratford,24 hours daily,NONE,2,NONE,NONE,POINT (-73.132624 41.198568),1040,218,138,2
"Inn at Stonington, a Select Registry Property - Tesla Destination",60 Water St,Stonington,24 hours daily; for customer use only,NONE,3,NONE,NONE,POINT (-71.906918 41.331744),,139,137,8
"Westport Town Hall 110 Myrtle Ave Westport, CT 06880",110 Myrtle Avenue,Westport,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,2,NONE,NONE,POINT (-73.35947443366 41.145215689458),1040,179,158,9
STARWOOD,1 Star Point,Stamford,24 hours daily,NONE,2,NONE,NONE,POINT (-73.5318605 41.0409048),1040,7,135,9
Popeyes Kitchen - Fairfield Pizza,200 E Main St,Stratford,24 hours daily,NONE,NONE,1,NONE,POINT (-73.117486 41.202742),1040,218,138,2
Dunkin' Donuts - Tesla Supercharger,160 Kukas Lane,Waterbury,24 hours daily; for Tesla use only,NONE,NONE,8,NONE,POINT (-73.005613 41.53713),1044,194,151,4
Crest Ford,218 Flanders Rd,Niantic,24 hours daily,NONE,1,NONE,NONE,POINT (-72.211435 41.354043),1045,31,45,8
Central Connecticut State University - Sheridan Dorm Lot,65 Wells St,New Britain,24 hours daily,NONE,1,NONE,NONE,POINT (-72.762739 41.692973),1041,110,89,1
LIBRARY KIOSK,24 Main St,New Milford,24 hours daily,NONE,1,NONE,NONE,POINT (-73.41116 41.5785572),1042,88,96,9
Hotel HiHo - Tesla Destination,4180 Black Rock Tpke,Fairfield,24 hours daily; for customer use only,NONE,3,NONE,NONE,POINT (-73.271401 41.203858),1040,111,51,2
Summer Street Garage,100 Summer St,Stamford,Restricted to garage hours; pay lot,NONE,3,NONE,NONE,POINT (-73.541625 41.054155),1040,7,135,9
MUNICIP STATION,3 Primrose St,Newtown,24 hours daily,NONE,2,NONE,NONE,POINT (-73.2847962 41.4007757),1040,153,97,9
PURDUE PHARMA,201 Tresser Blvd,Stamford,24 hours daily,NONE,4,NONE,NONE,POINT (-73.53779 41.050574),1040,203,135,9
Hartford High School,55 Forest St,Hartford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.701271 41.765034),1041,10,64,1
Bloomfield Town Hall,800 Bloomfield Avenue,Bloomfield,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,NONE,2,NONE,NONE,POINT (-72.7373929 41.8298475),1041,224,11,1
GUNNERY,16 Kirby Rd,Washington,24 hours daily,NONE,2,NONE,NONE,POINT (-73.3124 41.628033),1042,191,150,6
University of Connecticut - Storrs Center Garage,33 Royce Cir,Storrs,24 hours daily,NONE,4,NONE,NONE,POINT (-72.2442218 41.8041965),38,69,78,1
JAGLRNH,521 Washington Ave,North Haven,24 hours daily,NONE,2,NONE,NONE,POINT (-72.8415278 41.4168397),1044,168,101,7
Town of Stafford - Town Hall,1 Main St,Stafford Springs,24 hours daily,NONE,4,NONE,NONE,POINT (-72.303231 41.953668),38,34,134,1
Charter Oak International Academy,425 Oakwood Ave,West Hartford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.722829 41.742975),1041,213,155,1
Town of Newington - Market Square,90 Market Square,Newington,24 hours daily,NONE,4,NONE,NONE,POINT (-72.7214 41.6972),1041,86,94,1
Riverfield School,1625 Mill Plain Rd,Fairfield,School hours,NONE,2,NONE,NONE,POINT (-73.267585 41.162306),1040,111,51,2
Capital Regional Development Authority (CRDA),105 Columbus Blvd,Hartford,6am-12am daily,NONE,2,NONE,NONE,POINT (-72.670165 41.763287),1041,82,64,1
The SoNo Collection,100 N Water St,Norwalk,6am-12am,NONE,10,NONE,NONE,POINT (-73.418883 41.104791),1040,155,103,9
City of New Haven - Whalley Blake Parking Lot,919 Whalley Ave,New Haven,24 hours daily; pay lot,NONE,2,NONE,NONE,POINT (-72.960178 41.327848),1044,240,93,7
Riverview Cinemas 8 and Playhouse - Tesla Destination,690 Main St S,Southbury,24 hours daily; for customer use only,NONE,4,NONE,NONE,POINT (-73.230644 41.465044),1044,99,130,4
The Ridgefield Playhouse,80 E Ridge Rd,Ridgefield,24 hours daily,NONE,2,NONE,NONE,POINT (-73.492605 41.282264),1040,43,118,9
Meriden Station Garage,24 Colony St,Meriden,24 hours daily,NONE,3,NONE,NONE,POINT (-72.802667 41.539218),1044,226,80,7
HONDA WESTPORT,1372 Post Rd E,Westport,24 hours daily,NONE,3,NONE,NONE,POINT (-73.317072 41.138623),1040,179,158,9
FOXWOODS,350 Trolley Line Blvd,Mashantucket,24 hours daily,NONE,2,NONE,NONE,POINT (-71.9600027 41.4733521),1045,66,72,8
TOWN HALL LOT,740 Main St,East Hartford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.6446905 41.7660404),1041,119,43,1
FOXWOODS,350 Trolley Line Blvd,Ledyard,24 hours daily,NONE,2,NONE,NONE,POINT (-71.9600034 41.4733358),1045,66,72,8
Plainville High School,47 Robert Holcomb Way,Plainville,24 hours daily,NONE,1,NONE,NONE,POINT (-72.8580302 41.6659341),1041,260,110,1
Connecticut Welcome Center - Tesla Supercharger,1 West Ave.,Darien,24 hours daily; for Tesla use only,NONE,NONE,4,NONE,POINT (-73.504917 41.067306),1040,5,35,9
Whole Foods Market,350 Grasmere Ave,Fairfield,8am-10pm daily; for customer use only; see inside for access,NONE,1,NONE,NONE,POINT (-73.240315 41.157925),1040,111,51,2
Tamarack Country Club - Tesla Destination,55 Locust Rd,Greenwich,24 hours daily; for member use only; see valet for access,NONE,3,NONE,NONE,POINT (-73.709755 41.094294),1040,215,57,9
Madison Beach Hotel - Tesla Destination,94 W Wharf Rd,Madison,24 hours daily; overnight valet fee,NONE,2,NONE,NONE,POINT (-72.608573 41.27077),1044,134,76,7
Newington Electric,72 Pane Rd,Newington,24 hours daily,NONE,3,NONE,NONE,POINT (-72.729203 41.65514),1041,86,94,1
Premier Kia,205 N Main St,Branford,24 hours daily; priority for customer use,NONE,1,NONE,NONE,POINT (-72.809324 41.289894),1044,170,14,7
The Shoppes at Fox Run 1,25 Welles St # 55,Glastonbury,24 hours daily,NONE,NONE,2,NONE,POINT (-72.608292 41.714088),1041,90,54,1
NBCSG,98 Maher Rd,Stamford,24 hours daily,NONE,14,NONE,NONE,POINT (-73.516045 41.054321),1040,7,135,9
EDENS BISHOPS,345 N Main St,West Hartford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.7479436 41.784487),1041,181,155,1
Propark - Water Street Garage,161 Water St,New London,Restricted to garage hours; pay lot,8,4,NONE,1 Conductive 120V,POINT (-72.093784 41.355486),1045,144,95,8
Connecticut Post Mall - Tesla Supercharger,1201 Boston Post Road,Milford,24 hours daily; for Tesla use only,NONE,NONE,14,NONE,POINT (-73.036133 41.238119),1044,193,84,7
Manchester Honda,24 Adams St,Manchester,Dealership business hours,NONE,1,NONE,NONE,POINT (-72.552974 41.795898),1041,161,77,1
New London Mall - Tesla Supercharger,369 N Frontage Rd,New London,24 hours daily; for Tesla use only,NONE,NONE,8,NONE,POINT (-72.119376 41.370726),1045,144,95,8
Plainville Municipal Center,1 Central Square,Plainville,24 hours daily,NONE,1,NONE,NONE,POINT (-72.8670212999999 41.6717114),1041,260,110,1
The Study at Yale - Tesla Destination,1157 Chapel St,New Haven,24 hours daily; see valet for access,NONE,2,NONE,NONE,POINT (-72.932698 41.308741),1044,275,93,7
Connecticut Science Center,250 Columbus Blvd,Hartford,6am-6pm daily,NONE,2,NONE,NONE,POINT (-72.668833 41.764376),1041,82,64,1
Windham High School,355 High St,Windham,24 hours daily,NONE,2,NONE,NONE,POINT (-72.214432 41.723169),38,207,163,8
BIG Y FOODS,401 Bridgeport Ave,Shelton,24 hours daily,NONE,2,NONE,NONE,POINT (-73.11066 41.29434),1040,217,126,4
WHOLE FOODS MKT,5 Sugar Hollow Rd,Danbury,24 hours daily,NONE,1,NONE,NONE,POINT (-73.475576 41.3777667),1040,1,34,9
I-95 Madison NB Service Plaza - Tesla Supercharger,I-95 North Ave,Madison,24 hours daily; Tesla users only,NONE,NONE,10,NONE,POINT (-72.5804966772461 41.2904885216395),1044,134,76,7
Canton Town Hall,4 Market St,Canton,24 hours daily,NONE,2,NONE,NONE,POINT (-72.923177 41.811022),1041,80,23,1
UNION STATION,50 Union Ave,New Haven,24 hours daily,NONE,2,NONE,NONE,POINT (-72.9263108 41.2974027),1044,132,93,7
TOD,120 Main St,Durham,24 hours daily,NONE,2,NONE,NONE,POINT (-72.6809263 41.472228),1043,270,38,3
Delamar Southport - Tesla Destination,275 Old Post Rd,Fairfield,24 hours daily; for customer use only; see valet for access,NONE,3,NONE,NONE,POINT (-73.245943 41.146162),1040,111,51,2
Andrew Ward School,755 Melville Ave,Fairfield,School hours,NONE,2,NONE,NONE,POINT (-73.234423 41.185685),1040,174,51,2
Connecticut Department of Energy and Environmental Protection,79 Elm St,Hartford,8:30am-4:30pm M-F,NONE,2,NONE,NONE,POINT (-72.678633 41.763294),1041,182,64,1
Arapahoe Parking Lot,105 LaSalle Rd,West Hartford,Garage business hours; pay lot,NONE,1,NONE,NONE,POINT (-72.744596 41.759108000000005),1041,158,155,1
Southington Public Library,255 Main St,Southington,24 hours daily,NONE,2,NONE,NONE,POINT (-72.877465 41.596225),1041,176,131,1
NBCSG,84 Maher Rd,Stamford,24 hours daily,NONE,2,NONE,NONE,POINT (-73.5160406 41.053776),1040,7,135,9
Paul Miller Nissan,930 Kings Hwy E,Fairfield,Dealership business hours,NONE,1,1,NONE,POINT (-73.233711 41.167407),1040,174,51,2
Town of New Fairfield - Town Hall,4 Brush Hill Rd,New Fairfield,24 hours daily,NONE,1,NONE,NONE,POINT (-73.487032 41.465514),1040,45,91,9
Chip's Family Restaurant - Tesla Destination,321  Boston Post Rd,Orange,24 hours daily; for customer use only,NONE,2,NONE,NONE,POINT (-73.004741 41.2645),1044,196,107,7
George Harte Nissan,426 Derby Ave,West Haven,Dealership business hours,NONE,2,1,NONE,POINT (-72.968506 41.307602),1044,11,156,7
STOP SHOP,148 Heights Rd,Darien,24 hours daily,NONE,NONE,1,NONE,POINT (-73.4948097 41.070243),1040,5,35,9
East Shore District Health Department,688 E Main St,Branford,24 hours daily; 2 hour limit,NONE,6,NONE,NONE,POINT (-72.756902 41.305071),1044,170,14,7
Ridgefield BMW,746 Danbury Rd,Ridgefield,Dealership business hours; for customer use only,NONE,2,NONE,NONE,POINT (-73.472615 41.331117),1040,43,118,9
Big Y,22 Spencer Plain Rd,Old Saybrook,24 hours daily,NONE,1,NONE,NONE,POINT (-72.416634 41.28648200000001),1043,56,106,3
Green Farms Plaza,1460 Post Rd E,Westport,24 hours daily,NONE,NONE,1,NONE,POINT (-73.314364 41.138478),1040,179,158,9
Bridgeport Hospital,267 Grant St,Bridgeport,24 hours daily,NONE,2,NONE,NONE,POINT (-73.166282 41.190701),1040,41,15,2
Town of Stafford - Community Center,3 Buckley Hwy,Stafford Springs,24 hours daily,NONE,1,NONE,NONE,POINT (-72.289249 41.956727),38,34,134,1
Constitution Plaza - South,109 Constitution Plaza,Hartford,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,NONE,1,NONE,NONE,POINT (-72.670032 41.767185),1041,82,64,1
Coventry Town Hall,1712 Main St,Coventry,24 hours daily,NONE,2,NONE,NONE,POINT (-72.312334 41.780058),38,145,32,1
Curran Volkswagen,2785 Main St,Stratford,Dealership business hours,NONE,1,NONE,NONE,POINT (-73.131808 41.198467),1040,218,138,2
644 West Putnam,644 West Putnam Avenue,Greenwich,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,3,NONE,NONE,POINT (-73.6476069 41.016928),1040,6,57,9
